Percentage served,Time in ms
0,5.138
1,36.081
2,36.325
3,36.504
4,36.626
5,36.713
6,36.811
7,36.901
8,36.974
9,37.042
10,37.113
11,37.167
12,37.216
13,37.264
14,37.319
15,37.366
16,37.421
17,37.476
18,37.517
19,37.555
20,37.593
21,37.627
22,37.668
23,37.707
24,37.746
25,37.775
26,37.806
27,37.838
28,37.872
29,37.909
30,37.944
31,37.977
32,38.003
33,38.038
34,38.070
35,38.106
36,38.141
37,38.176
38,38.208
39,38.242
40,38.274
41,38.307
42,38.330
43,38.364
44,38.393
45,38.425
46,38.459
47,38.489
48,38.524
49,38.558
50,38.598
51,38.638
52,38.681
53,38.721
54,38.757
55,38.792
56,38.826
57,38.868
58,38.908
59,38.942
60,38.978
61,39.025
62,39.065
63,39.101
64,39.152
65,39.196
66,39.251
67,39.293
68,39.347
69,39.403
70,39.459
71,39.505
72,39.555
73,39.610
74,39.671
75,39.725
76,39.784
77,39.852
78,39.923
79,39.980
80,40.037
81,40.103
82,40.169
83,40.241
84,40.340
85,40.426
86,40.525
87,40.606
88,40.719
89,40.840
90,40.963
91,41.086
92,41.256
93,41.429
94,41.596
95,41.844
96,42.150
97,42.490
98,43.055
99,43.930
