"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lapesdclu203",,,,"User:","friend"
"Cmdline:","dstat -cdgnym --output exp2-dstat.csv --noheaders",,,,"Date:","01 Dec 2016 15:43:43 BRST"

"total cpu usage",,,,,,"dsk/total",,"paging",,"net/total",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","in","out","recv","send","int","csw","used","buff","cach","free"
3.332,0.237,96.100,0.198,0.0,0.134,66689.154,25732.482,0.0,0.0,0.0,0.0,1364.419,3698.796,207450112.0,42573824.0,172720128.0,12062572544.0,
0.375,0.375,99.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9826.0,12602.0,631.0,1994.0,207163392.0,42573824.0,172724224.0,12062855168.0,
0.125,0.250,98.876,0.749,0.0,0.0,0.0,135168.0,0.0,0.0,14097.0,13957.0,428.0,1180.0,206725120.0,42582016.0,172716032.0,12063293440.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9760.0,11984.0,325.0,876.0,206725120.0,42582016.0,172724224.0,12063285248.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10102.0,11902.0,365.0,1045.0,206725120.0,42582016.0,172724224.0,12063285248.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9694.0,11902.0,315.0,907.0,206852096.0,42582016.0,172724224.0,12063158272.0,
2.284,0.761,95.431,0.0,0.0,1.523,0.0,0.0,0.0,0.0,1055386.0,1129121.0,9462.0,22657.0,214429696.0,42582016.0,172724224.0,12055580672.0,
2.904,1.894,93.434,0.253,0.0,1.515,0.0,61440.0,0.0,0.0,1310284.0,1403118.0,10852.0,26674.0,217104384.0,42590208.0,172724224.0,12052897792.0,
5.450,2.662,88.466,0.0,0.0,3.422,0.0,0.0,0.0,0.0,4830742.0,4830717.0,14690.0,39130.0,226181120.0,42590208.0,172793856.0,12043751424.0,
12.208,6.883,74.286,0.0,0.0,6.623,0.0,0.0,0.0,0.0,16359956.0,15990559.0,16560.0,83308.0,228605952.0,42590208.0,172826624.0,12041293824.0,
11.688,7.273,74.805,0.0,0.0,6.234,0.0,0.0,0.0,0.0,16325878.0,15944742.0,15141.0,78804.0,230182912.0,42590208.0,172838912.0,12039704576.0,
12.256,6.649,76.010,0.0,0.0,5.085,0.0,0.0,0.0,0.0,15728372.0,15368997.0,14464.0,75625.0,231043072.0,42590208.0,172851200.0,12038832128.0,
2.299,1.277,94.253,0.255,0.0,1.916,0.0,159744.0,0.0,0.0,1342771.0,1435614.0,12956.0,26810.0,230739968.0,42598400.0,172855296.0,12039122944.0,
1.913,1.403,94.770,0.0,0.0,1.913,0.0,0.0,0.0,0.0,1310408.0,1403650.0,12684.0,26822.0,231665664.0,42598400.0,172900352.0,12038152192.0,
2.414,1.525,94.028,0.0,0.0,2.033,0.0,0.0,0.0,0.0,1302721.0,1395172.0,12392.0,26979.0,232644608.0,42598400.0,172937216.0,12037136384.0,
1.916,1.533,95.019,0.0,0.0,1.533,0.0,0.0,0.0,0.0,1315233.0,1408862.0,11383.0,26420.0,233791488.0,42598400.0,172978176.0,12035948544.0,
2.157,1.015,94.416,0.0,0.0,2.411,0.0,0.0,0.0,0.0,1321851.0,1416046.0,11169.0,26531.0,234684416.0,42598400.0,173015040.0,12035018752.0,
3.038,1.139,93.797,0.380,0.0,1.646,0.0,24576.0,0.0,0.0,1315587.0,1408734.0,10952.0,26084.0,236204032.0,42606592.0,173043712.0,12033462272.0,
2.655,1.138,94.437,0.0,0.0,1.770,0.0,0.0,0.0,0.0,1327591.0,1421546.0,11022.0,26709.0,237281280.0,42606592.0,173088768.0,12032339968.0,
2.665,1.523,93.782,0.0,0.0,2.030,0.0,0.0,0.0,0.0,1321930.0,1415817.0,10100.0,24921.0,238596096.0,42606592.0,173129728.0,12030984192.0,
2.525,1.768,93.813,0.0,0.0,1.894,0.0,0.0,0.0,0.0,1316972.0,1409958.0,9000.0,24247.0,239538176.0,42606592.0,173166592.0,12030005248.0,
1.783,1.401,95.032,0.0,0.0,1.783,0.0,0.0,0.0,0.0,1322384.0,1417035.0,8676.0,22035.0,240476160.0,42606592.0,173207552.0,12029026304.0,
2.645,1.134,93.829,0.126,0.0,2.267,0.0,24576.0,0.0,0.0,1306108.0,1396254.0,8640.0,21837.0,241152000.0,42614784.0,173232128.0,12028317696.0,
1.536,1.152,95.647,0.128,0.0,1.536,0.0,0.0,0.0,0.0,1326816.0,1421257.0,8567.0,21775.0,242278400.0,42614784.0,173281280.0,12027142144.0,
2.149,1.011,94.437,0.0,0.0,2.402,0.0,0.0,0.0,0.0,1323321.0,1417820.0,8730.0,21982.0,243802112.0,42614784.0,173322240.0,12025577472.0,
1.777,1.650,94.543,0.0,0.0,2.030,0.0,0.0,0.0,0.0,1321569.0,1415651.0,8649.0,21850.0,244965376.0,42614784.0,173359104.0,12024377344.0,
