Percentage served,Time in ms
0,0.723
1,2.497
2,3.313
3,4.070
4,4.556
5,5.111
6,5.617
7,6.016
8,6.369
9,6.617
10,6.762
11,6.816
12,6.931
13,6.951
14,6.963
15,6.975
16,6.990
17,7.006
18,7.058
19,7.123
20,7.139
21,7.150
22,7.160
23,7.167
24,7.175
25,7.185
26,7.196
27,7.214
28,7.303
29,7.339
30,7.358
31,7.375
32,7.408
33,7.560
34,7.765
35,7.966
36,8.186
37,9.000
38,9.415
39,9.465
40,9.590
41,9.608
42,9.618
43,9.626
44,9.633
45,9.640
46,9.647
47,9.654
48,9.664
49,9.676
50,9.732
51,9.780
52,9.791
53,9.799
54,9.804
55,9.808
56,9.813
57,9.816
58,9.820
59,9.823
60,9.827
61,9.829
62,9.830
63,9.834
64,9.837
65,9.840
66,9.843
67,9.847
68,9.851
69,9.855
70,9.860
71,9.866
72,9.873
73,9.884
74,9.914
75,9.977
76,9.990
77,9.998
78,10.004
79,10.010
80,10.014
81,10.019
82,10.023
83,10.027
84,10.032
85,10.035
86,10.038
87,10.043
88,10.049
89,10.054
90,10.060
91,10.070
92,10.087
93,10.181
94,10.205
95,10.218
96,10.233
97,10.249
98,10.287
99,10.443
