"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lapesdclu202",,,,"User:","friend"
"Cmdline:","dstat -cdgnym --output exp3-dstat-202.csv --noheaders",,,,"Date:","01 Dec 2016 15:51:41 BRST"

"total cpu usage",,,,,,"dsk/total",,"paging",,"net/total",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","in","out","recv","send","int","csw","used","buff","cach","free"
4.217,0.306,95.191,0.153,0.0,0.133,54021.308,21022.016,0.0,0.0,0.0,0.0,1884.194,5044.103,235085824.0,39370752.0,170242048.0,12040617984.0
0.125,0.0,99.624,0.251,0.0,0.0,0.0,114688.0,0.0,0.0,14949.0,14902.0,392.0,1157.0,235270144.0,39383040.0,170237952.0,12040425472.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10332.0,12940.0,346.0,980.0,235225088.0,39383040.0,170250240.0,12040458240.0
0.250,0.499,99.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10358.0,12740.0,430.0,1485.0,236195840.0,39383040.0,170250240.0,12039487488.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10206.0,12638.0,335.0,933.0,236466176.0,39383040.0,170250240.0,12039217152.0
1.377,0.375,98.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10088.0,12704.0,1165.0,5330.0,236134400.0,39383040.0,170254336.0,12039544832.0
0.501,0.125,99.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10022.0,12638.0,815.0,2451.0,236150784.0,39383040.0,170254336.0,12039528448.0
0.125,0.125,99.499,0.251,0.0,0.0,0.0,20480.0,0.0,0.0,11616.0,14621.0,485.0,1406.0,236142592.0,39391232.0,170254336.0,12039528448.0
2.010,1.382,95.101,0.0,0.0,1.508,0.0,0.0,0.0,0.0,931610.0,992402.0,8139.0,19842.0,242700288.0,39391232.0,170254336.0,12032970752.0
3.026,1.387,93.569,0.0,0.0,2.018,0.0,0.0,0.0,0.0,1398211.0,1495212.0,10791.0,27699.0,244617216.0,39391232.0,170278912.0,12031029248.0
2.908,1.643,93.805,0.0,0.0,1.643,0.0,0.0,0.0,0.0,1402941.0,1499876.0,10804.0,27666.0,245841920.0,39391232.0,170319872.0,12029763584.0
2.662,1.648,93.790,0.0,0.0,1.901,0.0,0.0,0.0,0.0,1390977.0,1487771.0,10556.0,27472.0,246726656.0,39391232.0,170381312.0,12028817408.0
4.092,2.302,91.049,0.256,0.0,2.302,0.0,53248.0,0.0,0.0,3682748.0,3688002.0,13377.0,36039.0,252026880.0,39399424.0,170418176.0,12023472128.0
6.179,3.026,87.642,0.0,0.0,3.153,0.0,0.0,0.0,0.0,5741771.0,5631717.0,12426.0,41702.0,251494400.0,39399424.0,170426368.0,12023996416.0
3.881,3.105,90.815,0.0,0.0,2.199,0.0,0.0,0.0,0.0,5160398.0,5075039.0,11179.0,38482.0,251650048.0,39399424.0,170434560.0,12023832576.0
3.291,1.392,93.418,0.0,0.0,1.899,0.0,0.0,0.0,0.0,1349092.0,1442370.0,11482.0,28782.0,252608512.0,39399424.0,170455040.0,12022853632.0
3.657,1.639,92.812,0.0,0.0,1.892,0.0,0.0,0.0,0.0,1398575.0,1495671.0,11649.0,29000.0,253128704.0,39399424.0,170496000.0,12022292480.0
2.767,2.013,93.082,0.252,0.0,1.887,0.0,49152.0,0.0,0.0,1399716.0,1497292.0,10959.0,27800.0,253444096.0,39407616.0,170545152.0,12021919744.0
3.141,2.136,92.965,0.0,0.0,1.759,0.0,0.0,0.0,0.0,1401008.0,1495771.0,10566.0,29280.0,253902848.0,39407616.0,170582016.0,12021424128.0
2.414,1.144,94.536,0.0,0.0,1.906,0.0,0.0,0.0,0.0,1394659.0,1491460.0,10624.0,27316.0,256393216.0,39407616.0,170627072.0,12018888704.0
3.620,1.623,92.884,0.0,0.0,1.873,0.0,0.0,0.0,0.0,1394976.0,1491943.0,10718.0,27416.0,256995328.0,39407616.0,170659840.0,12018253824.0
2.662,1.394,94.170,0.0,0.0,1.774,0.0,0.0,0.0,0.0,1407753.0,1506069.0,10606.0,27352.0,257916928.0,39407616.0,170717184.0,12017274880.0
2.390,2.013,93.333,0.126,0.0,2.138,0.0,69632.0,0.0,0.0,1395855.0,1492920.0,10403.0,27252.0,258007040.0,39415808.0,170729472.0,12017164288.0
2.157,1.650,94.162,0.0,0.0,2.030,0.0,0.0,0.0,0.0,1398633.0,1495602.0,11429.0,27768.0,258531328.0,39415808.0,170782720.0,12016586752.0
2.635,1.757,93.350,0.0,0.0,2.258,0.0,0.0,0.0,0.0,1403315.0,1500359.0,11521.0,27832.0,258883584.0,39415808.0,170811392.0,12016205824.0
3.500,2.500,92.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1400850.0,1498413.0,11824.0,29644.0,259432448.0,39415808.0,170835968.0,12015632384.0
3.279,1.387,92.938,0.0,0.0,2.396,0.0,0.0,0.0,0.0,1395544.0,1492581.0,11602.0,30823.0,260083712.0,39415808.0,170889216.0,12014927872.0
2.655,1.391,93.426,0.379,0.0,2.149,0.0,1265664.0,0.0,0.0,1398512.0,1495499.0,10960.0,27825.0,260501504.0,39424000.0,170926080.0,12014465024.0
