"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lapesdclu201",,,,"User:","friend"
"Cmdline:","dstat -cdgnym --output exp1-dstat-201.csv --noheaders",,,,"Date:","19 Dec 2016 16:54:48 BRST"

"total cpu usage",,,,,,"dsk/total",,"paging",,"net/total",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","in","out","recv","send","int","csw","used","buff","cach","free"
0.354,0.140,99.371,0.091,0.0,0.043,32843.301,16328.137,0.0,0.0,0.0,0.0,558.938,1885.113,228835328.0,58720256.0,221716480.0,9857900544.0
0.375,0.625,98.875,0.0,0.0,0.125,0.0,0.0,0.0,0.0,10078.0,13344.0,887.0,2850.0,229404672.0,58720256.0,221831168.0,9857216512.0
0.251,0.125,99.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10072.0,12678.0,663.0,1976.0,229400576.0,58720256.0,221835264.0,9857216512.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10082.0,12702.0,292.0,830.0,229400576.0,58720256.0,221835264.0,9857216512.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10012.0,12618.0,295.0,842.0,229400576.0,58720256.0,221835264.0,9857216512.0
0.756,0.756,97.607,0.126,0.0,0.756,0.0,102400.0,0.0,0.0,485056.0,522045.0,3922.0,11285.0,230440960.0,58728448.0,221831168.0,9856172032.0
2.792,1.777,93.147,0.0,0.0,2.284,0.0,0.0,0.0,0.0,1599588.0,1718154.0,11993.0,33488.0,234319872.0,58728448.0,221913088.0,9852211200.0
2.919,1.777,93.020,0.0,0.0,2.284,0.0,0.0,0.0,0.0,1626412.0,1748550.0,12190.0,34011.0,235847680.0,58728448.0,221982720.0,9850613760.0
2.528,1.643,92.794,0.0,0.0,3.034,0.0,0.0,0.0,0.0,1645058.0,1766871.0,12350.0,34615.0,237195264.0,58728448.0,222052352.0,9849196544.0
3.283,2.146,92.803,0.0,0.0,1.768,0.0,0.0,0.0,0.0,1605299.0,1721668.0,11719.0,33079.0,238616576.0,58728448.0,222121984.0,9847705600.0
4.298,2.023,91.277,0.253,0.0,2.149,0.0,24576.0,0.0,0.0,1613059.0,1734991.0,12918.0,37801.0,240476160.0,58736640.0,222187520.0,9845772288.0
2.926,2.036,93.003,0.0,0.0,2.036,0.0,0.0,0.0,0.0,1631175.0,1750172.0,12442.0,35132.0,243920896.0,58736640.0,222265344.0,9842249728.0
2.934,1.786,93.112,0.0,0.0,2.168,0.0,0.0,0.0,0.0,1623677.0,1743786.0,12888.0,36346.0,245424128.0,58736640.0,222339072.0,9840672768.0
2.642,2.264,92.327,0.0,0.0,2.767,0.0,0.0,0.0,0.0,1627662.0,1748482.0,11880.0,33998.0,246214656.0,58736640.0,222404608.0,9839816704.0
2.665,1.396,93.274,0.0,0.0,2.665,0.0,0.0,0.0,0.0,1612284.0,1731061.0,11687.0,33469.0,247422976.0,58736640.0,222478336.0,9838534656.0
3.295,1.521,92.522,0.634,0.0,2.028,0.0,86016.0,0.0,0.0,1616001.0,1736305.0,11974.0,33374.0,248197120.0,58744832.0,222535680.0,9837694976.0
3.038,1.899,93.038,0.0,0.0,2.025,0.0,0.0,0.0,0.0,1605845.0,1725245.0,11780.0,33292.0,249552896.0,58744832.0,222613504.0,9836261376.0
2.408,1.774,93.283,0.0,0.0,2.535,0.0,0.0,0.0,0.0,1622231.0,1744079.0,11948.0,33806.0,250556416.0,58744832.0,222683136.0,9835188224.0
2.658,2.152,92.911,0.0,0.0,2.278,0.0,0.0,0.0,0.0,1620369.0,1739374.0,11919.0,33909.0,251445248.0,58744832.0,222756864.0,9834225664.0
3.379,2.253,91.865,0.0,0.0,2.503,0.0,0.0,0.0,0.0,1618563.0,1738597.0,11933.0,33650.0,253022208.0,58744832.0,222822400.0,9832583168.0
2.911,1.899,92.658,0.253,0.0,2.278,0.0,20480.0,0.0,0.0,1629812.0,1753105.0,11650.0,33013.0,254001152.0,58753024.0,222887936.0,9831530496.0
3.061,1.531,93.112,0.0,0.0,2.296,0.0,0.0,0.0,0.0,1615193.0,1734697.0,10641.0,32147.0,254750720.0,58753024.0,222965760.0,9830703104.0
2.417,1.399,93.893,0.0,0.0,2.290,0.0,0.0,0.0,0.0,1621412.0,1742796.0,10198.0,29774.0,255696896.0,58753024.0,223035392.0,9829687296.0
2.270,2.144,92.938,0.0,0.0,2.648,0.0,0.0,0.0,0.0,1614757.0,1736262.0,10210.0,29407.0,257028096.0,58753024.0,223105024.0,9828286464.0
2.290,1.654,94.020,0.0,0.0,2.036,0.0,0.0,0.0,0.0,1604885.0,1725812.0,10216.0,29365.0,257966080.0,58753024.0,223174656.0,9827278848.0
0.883,0.883,97.478,0.0,0.0,0.757,0.0,0.0,0.0,0.0,554319.0,597520.0,4203.0,10984.0,258129920.0,58753024.0,223207424.0,9827082240.0
0.125,0.0,99.625,0.250,0.0,0.0,0.0,20480.0,0.0,0.0,10020.0,12634.0,320.0,943.0,258248704.0,58761216.0,223207424.0,9826955264.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10112.0,12650.0,347.0,1036.0,258248704.0,58761216.0,223207424.0,9826955264.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14647.0,14821.0,381.0,1051.0,258248704.0,58761216.0,223207424.0,9826955264.0
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10112.0,12634.0,325.0,918.0,258236416.0,58761216.0,223211520.0,9826963456.0
0.375,0.250,99.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10080.0,12694.0,631.0,1903.0,258093056.0,58761216.0,223211520.0,9827106816.0
0.501,0.376,99.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10020.0,12634.0,871.0,2909.0,258940928.0,58761216.0,223211520.0,9826258944.0
0.754,0.0,99.121,0.126,0.0,0.0,0.0,16384.0,0.0,0.0,10020.0,12634.0,780.0,3964.0,258797568.0,58769408.0,223211520.0,9826394112.0
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10080.0,12710.0,325.0,935.0,258797568.0,58769408.0,223211520.0,9826394112.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10112.0,12634.0,283.0,812.0,258797568.0,58769408.0,223211520.0,9826394112.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,1380352.0,0.0,0.0,10112.0,12634.0,426.0,1213.0,258797568.0,58769408.0,223211520.0,9826394112.0
0.0,0.0,99.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,10198.0,12650.0,652.0,1936.0,258797568.0,58769408.0,223211520.0,9826394112.0
0.0,0.126,99.749,0.126,0.0,0.0,0.0,36864.0,0.0,0.0,10020.0,12634.0,736.0,1851.0,258781184.0,58777600.0,223211520.0,9826402304.0
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14489.0,14771.0,820.0,2060.0,258781184.0,58777600.0,223211520.0,9826402304.0
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10020.0,12634.0,690.0,1955.0,258772992.0,58777600.0,223211520.0,9826410496.0
0.503,0.126,99.372,0.0,0.0,0.0,0.0,16384.0,0.0,0.0,10368.0,12634.0,1239.0,3069.0,258805760.0,58777600.0,223211520.0,9826377728.0
