Percentage served,Time in ms
0,0.423
1,1.766
2,2.276
3,2.796
4,3.037
5,3.253
6,3.505
7,3.719
8,3.846
9,3.871
10,3.883
11,3.892
12,3.901
13,3.910
14,3.921
15,3.936
16,3.997
17,4.049
18,4.066
19,4.079
20,4.092
21,4.108
22,4.243
23,4.351
24,4.594
25,4.761
26,4.890
27,4.911
28,4.919
29,4.928
30,4.936
31,4.943
32,4.951
33,4.961
34,4.976
35,5.034
36,5.062
37,5.073
38,5.081
39,5.088
40,5.094
41,5.099
42,5.105
43,5.110
44,5.115
45,5.120
46,5.124
47,5.129
48,5.137
49,5.146
50,5.163
51,5.290
52,5.645
53,5.991
54,6.693
55,7.378
56,7.561
57,7.590
58,7.616
59,7.719
60,7.756
61,7.770
62,7.781
63,7.792
64,7.807
65,7.835
66,7.944
67,7.966
68,7.985
69,8.009
70,8.162
71,8.411
72,8.990
73,9.459
74,9.647
75,9.693
76,9.792
77,9.809
78,9.821
79,9.830
80,9.838
81,9.847
82,9.858
83,9.870
84,9.892
85,9.967
86,9.989
87,10.003
88,10.012
89,10.020
90,10.027
91,10.034
92,10.041
93,10.049
94,10.058
95,10.071
96,10.102
97,10.194
98,10.219
99,10.251
