"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lapesdclu203",,,,"User:","friend"
"Cmdline:","dstat -cdgnym --output exp1-dstat-203.csv --noheaders",,,,"Date:","20 Jun 2017 11:35:08 BRT"

"total cpu usage",,,,,,"dsk/total",,"paging",,"net/total",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","in","out","recv","send","int","csw","used","buff","cach","free"
0.154,0.074,99.734,0.035,0.000,0.002,250.544,4699.629,0.0,0.0,0.0,0.0,262.029,1004.889,270397440.0,197517312.0,586027008.0,15659216896.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10082.0,13180.0,349.0,1019.0,270233600.0,197517312.0,586031104.0,15659376640.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14485.0,14703.0,410.0,1108.0,266039296.0,197517312.0,586031104.0,15663570944.0,
0.250,0.0,99.501,0.250,0.0,0.0,0.0,32768.0,0.0,0.0,10556.0,12708.0,352.0,965.0,266039296.0,197517312.0,586031104.0,15663570944.0,
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10174.0,12664.0,315.0,867.0,266047488.0,197517312.0,586031104.0,15663562752.0,
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10662.0,12648.0,345.0,969.0,266080256.0,197517312.0,586031104.0,15663529984.0,
1.008,0.882,97.229,0.0,0.0,0.882,0.0,0.0,0.0,0.0,631803.0,704886.0,5902.0,14295.0,268275712.0,197517312.0,586031104.0,15661334528.0,
2.036,1.272,95.165,0.0,0.0,1.527,0.0,0.0,0.0,0.0,1198058.0,1327498.0,10825.0,24973.0,270376960.0,197517312.0,586113024.0,15659151360.0,
2.299,1.149,95.275,0.0,0.0,1.277,0.0,0.0,0.0,0.0,1196410.0,1330634.0,10743.0,26736.0,272375808.0,197517312.0,586182656.0,15657082880.0,
1.523,1.015,95.305,0.254,0.0,1.904,0.0,24576.0,0.0,0.0,1199501.0,1333040.0,10221.0,24296.0,274145280.0,197517312.0,586260480.0,15655235584.0,
1.904,1.396,95.305,0.0,0.0,1.396,0.0,0.0,0.0,0.0,1200824.0,1336166.0,9963.0,23730.0,275288064.0,197517312.0,586334208.0,15654019072.0,
