Percentage served,Time in ms
0,5.297
1,34.584
2,34.814
3,34.919
4,35.023
5,35.090
6,35.155
7,35.231
8,35.285
9,35.335
10,35.389
11,35.437
12,35.470
13,35.523
14,35.557
15,35.605
16,35.649
17,35.686
18,35.717
19,35.753
20,35.787
21,35.832
22,35.865
23,35.901
24,35.934
25,35.966
26,36.001
27,36.030
28,36.057
29,36.082
30,36.110
31,36.137
32,36.167
33,36.194
34,36.223
35,36.255
36,36.283
37,36.316
38,36.346
39,36.378
40,36.412
41,36.442
42,36.472
43,36.496
44,36.525
45,36.558
46,36.583
47,36.613
48,36.646
49,36.689
50,36.718
51,36.753
52,36.788
53,36.818
54,36.856
55,36.887
56,36.922
57,36.953
58,36.988
59,37.019
60,37.062
61,37.103
62,37.138
63,37.182
64,37.221
65,37.272
66,37.307
67,37.341
68,37.385
69,37.433
70,37.491
71,37.539
72,37.600
73,37.655
74,37.722
75,37.788
76,37.859
77,37.932
78,38.006
79,38.085
80,38.183
81,38.255
82,38.343
83,38.435
84,38.522
85,38.605
86,38.698
87,38.789
88,38.867
89,38.985
90,39.114
91,39.225
92,39.354
93,39.500
94,39.672
95,39.869
96,40.169
97,40.488
98,41.026
99,41.684
