Percentage served,Time in ms
0,6.170
1,33.073
2,33.232
3,33.375
4,33.445
5,33.532
6,33.597
7,33.646
8,33.691
9,33.753
10,33.808
11,33.844
12,33.880
13,33.918
14,33.960
15,33.994
16,34.025
17,34.058
18,34.089
19,34.124
20,34.175
21,34.210
22,34.241
23,34.278
24,34.317
25,34.365
26,34.398
27,34.431
28,34.465
29,34.493
30,34.526
31,34.570
32,34.620
33,34.662
34,34.699
35,34.736
36,34.780
37,34.820
38,34.857
39,34.899
40,34.941
41,34.990
42,35.035
43,35.081
44,35.125
45,35.164
46,35.222
47,35.283
48,35.320
49,35.369
50,35.427
51,35.473
52,35.526
53,35.581
54,35.625
55,35.675
56,35.723
57,35.771
58,35.826
59,35.878
60,35.932
61,35.981
62,36.035
63,36.084
64,36.131
65,36.190
66,36.246
67,36.302
68,36.360
69,36.415
70,36.479
71,36.546
72,36.644
73,36.721
74,36.779
75,36.855
76,36.924
77,37.011
78,37.094
79,37.165
80,37.238
81,37.331
82,37.433
83,37.540
84,37.639
85,37.764
86,37.913
87,38.018
88,38.154
89,38.337
90,38.562
91,38.862
92,39.261
93,39.702
94,40.536
95,41.719
96,45.033
97,57.173
98,101.384
99,121.907
