starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
Tue Jun 20 16:48:49 2017	1497988129	0	1	1	1
