Percentage served,Time in ms
0,5.868
1,35.799
2,36.007
3,36.123
4,36.228
5,36.292
6,36.369
7,36.427
8,36.474
9,36.519
10,36.567
11,36.617
12,36.659
13,36.693
14,36.725
15,36.759
16,36.794
17,36.832
18,36.864
19,36.895
20,36.928
21,36.958
22,36.994
23,37.027
24,37.056
25,37.089
26,37.115
27,37.144
28,37.175
29,37.211
30,37.242
31,37.269
32,37.298
33,37.325
34,37.356
35,37.388
36,37.418
37,37.446
38,37.470
39,37.499
40,37.529
41,37.563
42,37.594
43,37.628
44,37.659
45,37.690
46,37.723
47,37.750
48,37.776
49,37.813
50,37.852
51,37.885
52,37.923
53,37.962
54,38.001
55,38.043
56,38.083
57,38.133
58,38.184
59,38.229
60,38.285
61,38.343
62,38.403
63,38.458
64,38.524
65,38.589
66,38.649
67,38.732
68,38.791
69,38.858
70,38.922
71,38.984
72,39.056
73,39.133
74,39.192
75,39.259
76,39.326
77,39.400
78,39.474
79,39.552
80,39.635
81,39.715
82,39.803
83,39.906
84,40.006
85,40.118
86,40.230
87,40.338
88,40.460
89,40.628
90,40.791
91,41.070
92,41.419
93,41.779
94,42.315
95,43.215
96,63.374
97,134.771
98,174.879
99,188.397
