"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lapesdclu203",,,,"User:","friend"
"Cmdline:","dstat -cdgnym --output exp3-dstat-203.csv --noheaders",,,,"Date:","01 Dec 2016 15:52:08 BRST"

"total cpu usage",,,,,,"dsk/total",,"paging",,"net/total",,"system",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","in","out","recv","send","int","csw","used","buff","cach","free"
2.925,0.250,96.500,0.181,0.0,0.144,56802.687,25204.781,0.0,0.0,0.0,0.0,1385.993,3817.637,222838784.0,44310528.0,174792704.0,12043374592.0
0.125,0.125,99.499,0.250,0.0,0.0,0.0,122880.0,0.0,0.0,17744.0,20112.0,509.0,1452.0,223125504.0,44322816.0,174780416.0,12043087872.0
0.125,0.250,99.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17856.0,19608.0,508.0,1369.0,223170560.0,44322816.0,174796800.0,12043026432.0
0.249,0.374,99.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17684.0,19472.0,525.0,1401.0,223305728.0,44322816.0,174796800.0,12042891264.0
0.752,0.125,99.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17684.0,19472.0,922.0,2634.0,223432704.0,44322816.0,174796800.0,12042764288.0
0.874,0.375,98.627,0.0,0.0,0.125,0.0,0.0,0.0,0.0,17684.0,19380.0,1122.0,4901.0,223944704.0,44322816.0,174800896.0,12042248192.0
0.501,0.501,98.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17618.0,19278.0,953.0,2917.0,225611776.0,44322816.0,174800896.0,12040581120.0
10.340,2.018,86.633,0.252,0.0,0.757,0.0,28672.0,0.0,0.0,816141.0,813141.0,7572.0,29409.0,233127936.0,44331008.0,174804992.0,12033052672.0
32.201,6.289,59.497,0.0,0.0,2.013,0.0,0.0,0.0,0.0,2809100.0,2792861.0,23960.0,106856.0,244252672.0,44331008.0,174829568.0,12021903360.0
32.830,5.912,59.497,0.0,0.0,1.761,0.0,520192.0,0.0,0.0,2886881.0,2874845.0,22910.0,110853.0,247320576.0,44331008.0,174866432.0,12018798592.0
31.888,6.122,60.204,0.0,0.0,1.786,0.0,0.0,0.0,0.0,2877531.0,2865111.0,22711.0,110052.0,249532416.0,44331008.0,174907392.0,12016545792.0
31.407,6.784,59.296,0.0,0.0,2.513,0.0,0.0,0.0,0.0,3258142.0,3236577.0,23208.0,110369.0,254455808.0,44331008.0,174944256.0,12011585536.0
31.915,5.131,60.576,0.125,0.0,2.253,0.0,32768.0,0.0,0.0,6245635.0,6112929.0,17315.0,76514.0,256176128.0,44339200.0,174977024.0,12009824256.0
32.412,4.523,61.809,0.126,0.0,1.131,0.0,0.0,0.0,0.0,6004146.0,5868149.0,14233.0,64205.0,255799296.0,44339200.0,174985216.0,12010192896.0
32.487,4.949,61.168,0.0,0.0,1.396,0.0,57344.0,0.0,0.0,3667305.0,3619428.0,18714.0,88439.0,257404928.0,44339200.0,174997504.0,12008574976.0
33.668,5.905,58.543,0.126,0.0,1.759,0.0,0.0,0.0,0.0,2873576.0,2861199.0,22538.0,112315.0,260374528.0,44339200.0,175034368.0,12005568512.0
32.872,4.912,59.446,0.126,0.0,2.645,0.0,0.0,0.0,0.0,2889484.0,2876953.0,22935.0,110816.0,262647808.0,44339200.0,175075328.0,12003254272.0
32.331,7.268,58.647,0.125,0.0,1.629,0.0,61440.0,0.0,0.0,2879410.0,2866819.0,23055.0,110635.0,265687040.0,44347392.0,175112192.0,12000169984.0
32.481,5.115,60.486,0.0,0.0,1.918,0.0,0.0,0.0,0.0,2882993.0,2867829.0,22440.0,110166.0,267841536.0,44347392.0,175153152.0,11997974528.0
33.250,5.750,59.0,0.125,0.0,1.875,0.0,0.0,0.0,0.0,2873259.0,2861317.0,22003.0,109725.0,270696448.0,44347392.0,175194112.0,11995078656.0
32.274,6.226,59.720,0.0,0.0,1.779,0.0,0.0,0.0,0.0,2887685.0,2874438.0,22846.0,112266.0,274264064.0,44347392.0,175230976.0,11991474176.0
33.458,5.993,58.677,0.125,0.0,1.748,0.0,0.0,0.0,0.0,2891838.0,2878792.0,22857.0,112096.0,276779008.0,44347392.0,175271936.0,11988918272.0
33.460,4.924,59.343,0.253,0.0,2.020,0.0,20480.0,0.0,0.0,2877814.0,2865498.0,22617.0,110492.0,280223744.0,44355584.0,175308800.0,11985428480.0
32.666,5.882,59.074,0.0,0.0,2.378,0.0,0.0,0.0,0.0,2884936.0,2871714.0,22506.0,111316.0,282054656.0,44355584.0,175349760.0,11983556608.0
31.950,6.541,59.119,0.126,0.0,2.264,0.0,61440.0,0.0,0.0,2885620.0,2872792.0,22462.0,111165.0,284217344.0,44355584.0,175390720.0,11981352960.0
33.628,5.310,59.166,0.0,0.0,1.896,0.0,0.0,0.0,0.0,2889751.0,2876467.0,23177.0,111851.0,286236672.0,44355584.0,175427584.0,11979296768.0
31.990,6.423,59.194,0.126,0.0,2.267,0.0,0.0,0.0,0.0,2880067.0,2867320.0,22734.0,110132.0,288972800.0,44355584.0,175464448.0,11976523776.0
33.706,5.721,58.706,0.124,0.0,1.741,0.0,73728.0,0.0,0.0,2888612.0,2876789.0,22442.0,108763.0,292048896.0,44363776.0,175509504.0,11973394432.0
33.833,5.493,60.050,0.0,0.0,0.624,0.0,0.0,0.0,0.0,850499.0,849468.0,11920.0,66053.0,291139584.0,44363776.0,175542272.0,11974270976.0
32.957,4.511,62.531,0.0,0.0,0.0,0.0,761856.0,0.0,0.0,17634.0,19286.0,2909.0,24487.0,290729984.0,44363776.0,175542272.0,11974680576.0
32.957,4.511,62.406,0.0,0.0,0.125,0.0,0.0,0.0,0.0,17968.0,19734.0,2669.0,25535.0,290738176.0,44363776.0,175542272.0,11974672384.0
32.709,4.994,62.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22425.0,20806.0,2929.0,27897.0,290729984.0,44363776.0,175542272.0,11974680576.0
33.041,4.255,62.328,0.375,0.0,0.0,0.0,65536.0,0.0,0.0,17720.0,19286.0,3318.0,24020.0,290713600.0,44371968.0,175534080.0,11974696960.0
33.083,4.386,62.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17634.0,19302.0,2574.0,19948.0,290725888.0,44371968.0,175538176.0,11974680576.0
33.877,4.015,61.982,0.0,0.0,0.125,0.0,8192.0,0.0,0.0,17694.0,19346.0,2840.0,22416.0,291033088.0,44371968.0,175542272.0,11974369280.0
34.962,2.882,62.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17634.0,19302.0,2391.0,18449.0,291024896.0,44371968.0,175542272.0,11974377472.0
34.204,3.980,61.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17634.0,19286.0,3121.0,21763.0,292102144.0,44371968.0,175546368.0,11973296128.0
31.539,4.130,64.330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17634.0,19286.0,3007.0,23518.0,291860480.0,44371968.0,175546368.0,11973537792.0
