Percentage served,Time in ms
0,0.431
1,1.740
2,2.304
3,2.816
4,3.043
5,3.228
6,3.486
7,3.682
8,3.705
9,3.721
10,3.739
11,3.779
12,3.841
13,3.857
14,3.869
15,3.880
16,3.889
17,3.898
18,3.910
19,3.926
20,3.986
21,4.051
22,4.082
23,4.257
24,4.482
25,4.700
26,4.863
27,4.900
28,4.914
29,4.923
30,4.931
31,4.939
32,4.947
33,4.954
34,4.964
35,4.976
36,5.005
37,5.059
38,5.072
39,5.082
40,5.089
41,5.096
42,5.102
43,5.108
44,5.114
45,5.119
46,5.124
47,5.132
48,5.141
49,5.156
50,5.248
51,5.285
52,5.335
53,5.908
54,6.192
55,6.977
56,7.344
57,7.383
58,7.412
59,7.471
60,7.541
61,7.559
62,7.571
63,7.581
64,7.593
65,7.609
66,7.670
67,7.737
68,7.761
69,7.782
70,7.817
71,8.020
72,8.605
73,9.214
74,9.628
75,9.701
76,9.804
77,9.820
78,9.831
79,9.841
80,9.851
81,9.861
82,9.874
83,9.892
84,9.965
85,9.992
86,10.004
87,10.013
88,10.021
89,10.028
90,10.034
91,10.041
92,10.049
93,10.059
94,10.074
95,10.149
96,10.193
97,10.214
98,10.234
99,10.271
